	ancestry	location	n_sample_location	n_sample_ancestry	n_ancestry_location	perc_ancestry_location
395	African	chr1_18050	14	24	4	0.5833333333333334
266	African	chr16_87502	14	24	4	0.5833333333333334
269	African	chr16_88350	13	24	4	0.5416666666666666
294	African	chr17_5623	20	24	4	0.8333333333333334
309	African	chr18_13982	19	24	4	0.7916666666666666
314	African	chr18_2067	18	24	4	0.75
324	African	chr18_37284	19	24	4	0.7916666666666666
329	African	chr18_61645	22	24	4	0.9166666666666666
331	African	chr18_63103	20	24	4	0.8333333333333334
340	African	chr18_79542	20	24	4	0.8333333333333334
341	African	chr18_855	17	24	4	0.7083333333333334
348	African	chr19_1550	16	24	4	0.6666666666666666
354	African	chr19_29010	20	24	4	0.8333333333333334
359	African	chr19_33250	21	24	4	0.875
360	African	chr19_33459	13	24	4	0.5416666666666666
382	African	chr1_11374	18	24	4	0.75
385	African	chr1_14493	22	24	4	0.9166666666666666
391	African	chr1_168395	22	24	4	0.9166666666666666
262	African	chr16_78194	16	24	4	0.6666666666666666
1942	Asian	chrX_153383	15	19	4	0.7894736842105263
1095	Asian	chr10_126892	15	19	4	0.7894736842105263
1104	Asian	chr10_15149	13	19	4	0.6842105263157895
1662	Asian	chr4_138867	14	19	4	0.7368421052631579
1664	Asian	chr4_155349	12	19	4	0.631578947368421
1666	Asian	chr4_157983	17	19	4	0.8947368421052632
1674	Asian	chr4_179432	11	19	4	0.5789473684210527
1676	Asian	chr4_187453	12	19	4	0.631578947368421
1679	Asian	chr4_38734	19	19	4	1.0
1680	Asian	chr4_38754	18	19	4	0.9473684210526315
1661	Asian	chr4_134214	15	19	4	0.7894736842105263
1692	Asian	chr4_7131	19	19	4	1.0
1702	Asian	chr4_96502	10	19	4	0.5263157894736842
1718	Asian	chr5_42090	11	19	4	0.5789473684210527
1738	Asian	chr6_11492	16	19	4	0.8421052631578947
1739	Asian	chr6_116048	17	19	4	0.8947368421052632
1743	Asian	chr6_150269	11	19	4	0.5789473684210527
1744	Asian	chr6_157238	16	19	4	0.8421052631578947
1746	Asian	chr6_159605	15	19	4	0.7894736842105263
1696	Asian	chr4_79784	13	19	4	0.6842105263157895
1657	Asian	chr4_101164	14	19	4	0.7368421052631579
1655	Asian	chr3_85548	16	19	4	0.8421052631578947
1652	Asian	chr3_72211	16	19	4	0.8421052631578947
1535	Asian	chr21_9246	15	19	4	0.7894736842105263
1557	Asian	chr22_48605	11	19	4	0.5789473684210527
1559	Asian	chr22_49277	17	19	4	0.8947368421052632
1565	Asian	chr2_119694	14	19	4	0.7368421052631579
1570	Asian	chr2_133504	13	19	4	0.6842105263157895
1571	Asian	chr2_14274	17	19	4	0.8947368421052632
1573	Asian	chr2_150966	11	19	4	0.5789473684210527
1579	Asian	chr2_218083	17	19	4	0.8947368421052632
1584	Asian	chr2_234515	19	19	4	1.0
1585	Asian	chr2_235169	12	19	4	0.631578947368421
1587	Asian	chr2_236888	18	19	4	0.9473684210526315
1598	Asian	chr2_241517	16	19	4	0.8421052631578947
1601	Asian	chr2_2750	19	19	4	1.0
1603	Asian	chr2_3046	13	19	4	0.6842105263157895
1616	Asian	chr2_98660	13	19	4	0.6842105263157895
1626	Asian	chr3_126540	16	19	4	0.8421052631578947
1631	Asian	chr3_155309	15	19	4	0.7894736842105263
1752	Asian	chr6_165678	13	19	4	0.6842105263157895
1521	Asian	chr21_7916	17	19	4	0.8947368421052632
1758	Asian	chr6_167652	11	19	4	0.5789473684210527
1761	Asian	chr6_168120	12	19	4	0.631578947368421
1870	Asian	chr8_29820	18	19	4	0.9473684210526315
1874	Asian	chr8_40821	19	19	4	1.0
1875	Asian	chr8_41901	12	19	4	0.631578947368421
1876	Asian	chr8_47764	16	19	4	0.8421052631578947
1877	Asian	chr8_48174	17	19	4	0.8947368421052632
1879	Asian	chr8_52276	13	19	4	0.6842105263157895
1884	Asian	chr8_65041	14	19	4	0.7368421052631579
1867	Asian	chr8_21767	17	19	4	0.8947368421052632
1891	Asian	chr9_116936	10	19	4	0.5263157894736842
1894	Asian	chr9_123348	18	19	4	0.9473684210526315
1899	Asian	chr9_131964	14	19	4	0.7368421052631579
1910	Asian	chr9_36764	15	19	4	0.7894736842105263
1924	Asian	chr9_88974	17	19	4	0.8947368421052632
1927	Asian	chr9_89255	15	19	4	0.7894736842105263
1929	Asian	chr9_93209	15	19	4	0.7894736842105263
1930	Asian	chr9_93619	15	19	4	0.7894736842105263
1893	Asian	chr9_121896	16	19	4	0.8421052631578947
3341	Hispanic	chrY_545	2	3	4	0.6666666666666666
1865	Asian	chr8_17796	14	19	4	0.7368421052631579
1860	Asian	chr8_142502	18	19	4	0.9473684210526315
1768	Asian	chr6_2376	18	19	4	0.9473684210526315
1769	Asian	chr6_2384	13	19	4	0.6842105263157895
1781	Asian	chr6_3777	11	19	4	0.5789473684210527
1782	Asian	chr6_39845	19	19	4	1.0
1788	Asian	chr6_44320	10	19	4	0.5263157894736842
1798	Asian	chr7_102933	16	19	4	0.8421052631578947
1803	Asian	chr7_131655	15	19	4	0.7894736842105263
1811	Asian	chr7_155891	15	19	4	0.7894736842105263
1820	Asian	chr7_31657	17	19	4	0.8947368421052632
1824	Asian	chr7_44329	14	19	4	0.7368421052631579
1839	Asian	chr7_99220	16	19	4	0.8421052631578947
1840	Asian	chr8_10272	11	19	4	0.5789473684210527
1845	Asian	chr8_130898	12	19	4	0.631578947368421
1848	Asian	chr8_1337	12	19	4	0.631578947368421
1852	Asian	chr8_138806	13	19	4	0.6842105263157895
1853	Asian	chr8_139158	11	19	4	0.5789473684210527
1859	Asian	chr8_142432	19	19	4	1.0
1760	Asian	chr6_167687	15	19	4	0.7894736842105263
1099	Asian	chr10_131512	15	19	4	0.7894736842105263
1512	Asian	chr21_41673	13	19	4	0.6842105263157895
1509	Asian	chr21_38508	17	19	4	0.8947368421052632
1192	Asian	chr12_132167	12	19	4	0.631578947368421
1198	Asian	chr12_132743	14	19	4	0.7368421052631579
1200	Asian	chr12_2683	11	19	4	0.5789473684210527
1209	Asian	chr12_57192	17	19	4	0.8947368421052632
1214	Asian	chr13_111435	17	19	4	0.8947368421052632
1216	Asian	chr13_111622	16	19	4	0.8421052631578947
1218	Asian	chr13_112973	18	19	4	0.9473684210526315
1191	Asian	chr12_130055	14	19	4	0.7368421052631579
1223	Asian	chr13_19068	10	19	4	0.5263157894736842
1234	Asian	chr14_100527	10	19	4	0.5263157894736842
1245	Asian	chr14_16105	14	19	4	0.7368421052631579
1256	Asian	chr14_82288	13	19	4	0.6842105263157895
1262	Asian	chr15_17084	11	19	4	0.5789473684210527
1265	Asian	chr15_25816	10	19	4	0.5263157894736842
1266	Asian	chr15_26893	17	19	4	0.8947368421052632
1276	Asian	chr15_53874	11	19	4	0.5789473684210527
1224	Asian	chr13_22679	16	19	4	0.8421052631578947
1187	Asian	chr12_121053	10	19	4	0.5263157894736842
1185	Asian	chr12_110881	16	19	4	0.8421052631578947
1173	Asian	chr11_70803	11	19	4	0.5789473684210527
1107	Asian	chr10_25454	14	19	4	0.7368421052631579
1118	Asian	chr10_46526	12	19	4	0.631578947368421
1120	Asian	chr10_49742	14	19	4	0.7368421052631579
1122	Asian	chr10_63783	16	19	4	0.8421052631578947
1129	Asian	chr10_84602	17	19	4	0.8947368421052632
1143	Asian	chr11_126633	12	19	4	0.631578947368421
1144	Asian	chr11_126799	14	19	4	0.7368421052631579
1145	Asian	chr11_132126	17	19	4	0.8947368421052632
1146	Asian	chr11_133028	11	19	4	0.5789473684210527
1147	Asian	chr11_133354	13	19	4	0.6842105263157895
1151	Asian	chr11_2188	16	19	4	0.8421052631578947
1153	Asian	chr11_30929	15	19	4	0.7894736842105263
1154	Asian	chr11_33403	13	19	4	0.6842105263157895
1157	Asian	chr11_36055	13	19	4	0.6842105263157895
1160	Asian	chr11_42960	11	19	4	0.5789473684210527
1168	Asian	chr11_69216	15	19	4	0.7894736842105263
1169	Asian	chr11_69292	17	19	4	0.8947368421052632
1283	Asian	chr15_83695	12	19	4	0.631578947368421
1510	Asian	chr21_38914	13	19	4	0.6842105263157895
1286	Asian	chr15_94052	16	19	4	0.8421052631578947
1298	Asian	chr16_86014	14	19	4	0.7368421052631579
1426	Asian	chr1_223081	14	19	4	0.7368421052631579
1437	Asian	chr1_25530	14	19	4	0.7368421052631579
1438	Asian	chr1_27086	13	19	4	0.6842105263157895
1441	Asian	chr1_3026	13	19	4	0.6842105263157895
1442	Asian	chr1_34541	14	19	4	0.7368421052631579
1444	Asian	chr1_41425	12	19	4	0.631578947368421
1448	Asian	chr1_50369	11	19	4	0.5789473684210527
1423	Asian	chr1_20464	10	19	4	0.5263157894736842
1453	Asian	chr1_8277	12	19	4	0.631578947368421
1463	Asian	chr20_25067	18	19	4	0.9473684210526315
1464	Asian	chr20_25602	18	19	4	0.9473684210526315
1482	Asian	chr20_44405	18	19	4	0.9473684210526315
1486	Asian	chr20_58520	16	19	4	0.8421052631578947
1491	Asian	chr20_61444	18	19	4	0.9473684210526315
1507	Asian	chr21_37708	15	19	4	0.7894736842105263
1508	Asian	chr21_38060	15	19	4	0.7894736842105263
1461	Asian	chr20_22472	14	19	4	0.7368421052631579
1421	Asian	chr1_204195	11	19	4	0.5789473684210527
1414	Asian	chr1_182138	15	19	4	0.7894736842105263
1413	Asian	chr1_18050	15	19	4	0.7894736842105263
1300	Asian	chr16_87502	14	19	4	0.7368421052631579
1302	Asian	chr16_88350	13	19	4	0.6842105263157895
1317	Asian	chr17_30156	12	19	4	0.631578947368421
1324	Asian	chr17_5623	17	19	4	0.8947368421052632
1341	Asian	chr18_13982	17	19	4	0.8947368421052632
1343	Asian	chr18_2067	14	19	4	0.7368421052631579
1350	Asian	chr18_37284	11	19	4	0.5789473684210527
1357	Asian	chr18_63103	16	19	4	0.8421052631578947
1363	Asian	chr18_79542	17	19	4	0.8947368421052632
1364	Asian	chr18_855	18	19	4	0.9473684210526315
1368	Asian	chr19_1550	17	19	4	0.8947368421052632
1373	Asian	chr19_29010	15	19	4	0.7894736842105263
1377	Asian	chr19_33250	19	19	4	1.0
1378	Asian	chr19_33459	17	19	4	0.8947368421052632
1402	Asian	chr1_11374	15	19	4	0.7894736842105263
1407	Asian	chr1_14493	18	19	4	0.9473684210526315
1410	Asian	chr1_168395	18	19	4	0.9473684210526315
1288	Asian	chr16_10040	17	19	4	0.8947368421052632
3344	Hispanic	chrY_9108	2	3	4	0.6666666666666666

